resource_id,resource_pref_id,res,reslabel,res_np
http://purl.org/np/RAZ5BW4-BYc98FsWczV_OtojJdGN4jN4MSd_okrzx4qCA#mmd,http://purl.org/np/RAZ5BW4-BYc98FsWczV_OtojJdGN4jN4MSd_okrzx4qCA#mmd,mmd,MET Norway Metadata Format Specification,http://purl.org/np/RAkDiflbmlLaitk9eM-XfyBMAupUHQYElypCfZyn-lZj0
http://purl.org/np/RAdSh5ktUccAF4b4ICTF-Pyh4_Mj2dqcS39rePAMh5dKQ#LWERIC-MetadataCatalogue,http://purl.org/np/RAdSh5ktUccAF4b4ICTF-Pyh4_Mj2dqcS39rePAMh5dKQ#LWERIC-MetadataCatalogue,LWERIC-MetadataCatalogue,LifeWatch ERIC Metadata Catalogue,http://purl.org/np/RAK6WNKgHuZeeDRLmK-ytkOSIY568U2JklD7p5AcsCQoQ
http://purl.org/np/RAdSh5ktUccAF4b4ICTF-Pyh4_Mj2dqcS39rePAMh5dKQ#LWERIC-MetadataCatalogue,http://purl.org/np/RAdSh5ktUccAF4b4ICTF-Pyh4_Mj2dqcS39rePAMh5dKQ#LWERIC-MetadataCatalogue,LWERIC-MetadataCatalogue,LifeWatch ERIC Metadata Catalogue,http://purl.org/np/RAdSh5ktUccAF4b4ICTF-Pyh4_Mj2dqcS39rePAMh5dKQ
http://purl.org/np/RAiCaFZCEF6LErVvjOkXOodU477UvFmBOKGf-7Bj-0okw#CLU,http://purl.org/np/RAiCaFZCEF6LErVvjOkXOodU477UvFmBOKGf-7Bj-0okw#CLU,CLU,ACTRIS Data Centre node for cloud profiling (CLU),http://purl.org/np/RAiCaFZCEF6LErVvjOkXOodU477UvFmBOKGf-7Bj-0okw
http://purl.org/np/RAiCaFZCEF6LErVvjOkXOodU477UvFmBOKGf-7Bj-0okw#CLU,http://purl.org/np/RAiCaFZCEF6LErVvjOkXOodU477UvFmBOKGf-7Bj-0okw#CLU,CLU,CLU | ACTRIS Data Centre node for cloud profiling,http://purl.org/np/RAH7FTF8-11wwB1tYxgELYdVxMC-ZfNT-TQtYuju8kiFE
http://purl.org/np/RAjwm4PxkZfZxR0q-ntQDUUt9f-_bubqyIsRJ1XzKNu84#DEIMS-SDR-REST-API,http://purl.org/np/RAjwm4PxkZfZxR0q-ntQDUUt9f-_bubqyIsRJ1XzKNu84#DEIMS-SDR-REST-API,DEIMS-SDR-REST-API,DEIMS-SDR-REST-API,http://purl.org/np/RAM821FBOidedRC2YQe3JR2oTcfQ626rSfOJxMnIh_nTE
http://purl.org/np/RAjwm4PxkZfZxR0q-ntQDUUt9f-_bubqyIsRJ1XzKNu84#DEIMS-SDR-REST-API,http://purl.org/np/RAjwm4PxkZfZxR0q-ntQDUUt9f-_bubqyIsRJ1XzKNu84#DEIMS-SDR-REST-API,DEIMS-SDR-REST-API,DEIMS-SDR-REST-API,http://purl.org/np/RAjwm4PxkZfZxR0q-ntQDUUt9f-_bubqyIsRJ1XzKNu84
http://purl.org/np/RAm-dPD2ACG4DgiL8dqinm2Se-ztJ-BlXWK10887O1Hfg#GEOMS,http://purl.org/np/RAm-dPD2ACG4DgiL8dqinm2Se-ztJ-BlXWK10887O1Hfg#GEOMS,GEOMS,GEOMS | Generic Earth Observation Metadata Standard,http://purl.org/np/RAOgsIE1YegP1iRxOGh8kwqHDj6NTTT3Evr15s2Wkkg3k
http://purl.org/np/RAm-dPD2ACG4DgiL8dqinm2Se-ztJ-BlXWK10887O1Hfg#GEOMS,http://purl.org/np/RAm-dPD2ACG4DgiL8dqinm2Se-ztJ-BlXWK10887O1Hfg#GEOMS,GEOMS,Generic Earth Observation Metadata Standard,http://purl.org/np/RAm-dPD2ACG4DgiL8dqinm2Se-ztJ-BlXWK10887O1Hfg
http://purl.org/np/RAqODwHpiOXLZfReOEgWUIDs9hKSuCiQkMU7Of0J0OUGU#EDF,http://purl.org/np/RAqODwHpiOXLZfReOEgWUIDs9hKSuCiQkMU7Of0J0OUGU#EDF,EDF,EUROCHAMP Data Format,http://purl.org/np/RAZ0u8xhjgXLT1TTWaEqc09UZ7q8feekNTr3oyYMCtx1k
http://purl.org/np/RAqODwHpiOXLZfReOEgWUIDs9hKSuCiQkMU7Of0J0OUGU#EDF,http://purl.org/np/RAqODwHpiOXLZfReOEgWUIDs9hKSuCiQkMU7Of0J0OUGU#EDF,EDF,EUROCHAMP Data Format,http://purl.org/np/RAqODwHpiOXLZfReOEgWUIDs9hKSuCiQkMU7Of0J0OUGU
http://purl.org/np/RAr7ohWkWiRXFNveclO_HnZItzpJxpULN_a5VzCeWGKJs#eiscat-ip-check,http://purl.org/np/RAr7ohWkWiRXFNveclO_HnZItzpJxpULN_a5VzCeWGKJs#eiscat-ip-check,eiscat-ip-check,EISCAT IP Address Check,http://purl.org/np/RAZc0O_UJsxANZPmkdPIhIcx3CbfYqtc68doxoxpw8AAI
http://purl.org/np/RAr7ohWkWiRXFNveclO_HnZItzpJxpULN_a5VzCeWGKJs#eiscat-ip-check,http://purl.org/np/RAr7ohWkWiRXFNveclO_HnZItzpJxpULN_a5VzCeWGKJs#eiscat-ip-check,eiscat-ip-check,EISCAT IP Address Check,http://purl.org/np/RAcqa73nfdX7-0UBcmSQ6EIlOR9F9JQehlmv039xyA1k4
http://purl.org/np/RAwk4Jy1VlIHXqWS04FvQGl0DJin7zsCcKpgD-bfCOlGc#eiscat-licence,http://purl.org/np/RAwk4Jy1VlIHXqWS04FvQGl0DJin7zsCcKpgD-bfCOlGc#eiscat-dp,eiscat-dp,EISCAT Data Policy and Licence,http://purl.org/np/RAVHxATrO08TOBVTzkVRtsjY_Y2n6fsfoPm5yfDXj8WGg
http://purl.org/np/RAwk4Jy1VlIHXqWS04FvQGl0DJin7zsCcKpgD-bfCOlGc#eiscat-licence,http://purl.org/np/RAwk4Jy1VlIHXqWS04FvQGl0DJin7zsCcKpgD-bfCOlGc#eiscat-licence,eiscat-licence,EISCAT Data Licence,http://purl.org/np/RANx3J5-gCx-QPs7jy_bpi1PoJHfziq8XMZ8lzNGt3mRo
http://purl.org/np/RAxe6eQ3CEdAlQNz0a6oqQjTczYD-YqKoVV2yR0YM0-kw#AERIS_voc,http://purl.org/np/RAxe6eQ3CEdAlQNz0a6oqQjTczYD-YqKoVV2yR0YM0-kw#AERIS_voc,AERIS_voc,AERIS vocabulary,http://purl.org/np/RAt0g4_wSrHvtgN2J6a25YWdpDLLxguPFgbU68Ns2Oek0
http://purl.org/np/RAxe6eQ3CEdAlQNz0a6oqQjTczYD-YqKoVV2yR0YM0-kw#AERIS_voc,http://purl.org/np/RAxe6eQ3CEdAlQNz0a6oqQjTczYD-YqKoVV2yR0YM0-kw#AERIS_voc,AERIS_voc,AERIS vocabulary,http://purl.org/np/RAxe6eQ3CEdAlQNz0a6oqQjTczYD-YqKoVV2yR0YM0-kw
http://purl.org/np/RAycjESjFQ91267zhC1Cp_203_rSrbDsC2Klo7egQTh8o#GNOS_account,http://purl.org/np/RAycjESjFQ91267zhC1Cp_203_rSrbDsC2Klo7egQTh8o#GNOS_account,GNOS_account,GeoNetwork account in the internal catalog database,http://purl.org/np/RAVUa1yn3EeLSpJxYi1FktGHe15tgirwF3QD8FG3wXcMM
http://purl.org/np/RAycjESjFQ91267zhC1Cp_203_rSrbDsC2Klo7egQTh8o#GNOS_account,http://purl.org/np/RAycjESjFQ91267zhC1Cp_203_rSrbDsC2Klo7egQTh8o#GNOS_account,GNOS_account,GeoNetwork account in the internal catalog database,http://purl.org/np/RAycjESjFQ91267zhC1Cp_203_rSrbDsC2Klo7egQTh8o
